,id_stat,name_stat,type_stat,region,provinsi,kabupaten,lintang_derajat,bujur_derajat,ketinggian_mdpl,soil,exposure,land_use,time_zone
0,11010101a,Bakongan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.95,97.47,0,,,,+07:00
1,11010201a,Kluet Utara,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.59,97.0,0,,,,
2,11010301a,Kluet Selatan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.03,97.38,0,,,,
3,11010401a,Labuhan Haji,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.54,97.01,0,,,,
4,11010501a,Meukek,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.54321,97.1523,0,,,,
5,11010601a,Sama Dua,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.32,97.14,0,,,,
6,11010701a,Sawang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.39,97.11,0,,,,
7,11010801a,Tapak Tuan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.27,97.21,0,,,,
8,11010901a,Trumon,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.88,97.67,0,,,,
9,11011001a,Pasie Raja,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.25,97.28,0,,,,
10,11011101a,Labuhan Haji Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.52,97.03,0,,,,
11,11011301a,Kluet Tengah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.51,97.35,0,,,,
12,11011401a,Kluet Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.23,97.43,0,,,,
13,11011501a,Bakongan Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.91,97.55,0,,,,
14,11011601a,Trumon Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.82,97.76,0,,,,
15,11100101a,Pulau Banyak,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.19,97.28,20,,,,
16,11100201a,Simpang Kanan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.45,98.04,43,,,,
17,11100401a,Singkil,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.29,97.85,12,,,,
18,11101001a,Singkil Utara,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.28,97.94,34,,,,
19,11101101a,Danau Paris,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.47,97.85,14,,,,
20,11101201a,Suro Baru/Makmur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.54,98.05,42,,,,
21,11101301a,Singkohor,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.53,97.94,36,,,,
22,11101401a,Kuala Baru,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.37,97.75,18,,,,
23,11110501a,Kota Baharu,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.43,97.82,15,,,,
24,11100402g,AWS MES Singkil,aws,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.2753,97.9548,3,,,,+07:00
25,11100601a,Gunung Meriah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.29,98.14,123,,,,
26,11100901a,Kota Baharu,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.43,97.82,15,,,,
27,16020504h,AAWS OKI,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-4.4075,105.441,0,,,,
28,16020201a,Tanjung Lubuk,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.53008,104.7578,0,,,,
29,16020301a,Pedamaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.49606,104.8363,0,,,,
30,16020302a,Pedamaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.50079,104.8349,0,,,,
31,16020401a,P. Panggang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.89371,105.1027,0,,,,
32,16020503a,Kayu Agung 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.4075,104.9425,6,,,,
33,16020801a,Sp. Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.26712,104.87623,12,,,,
34,16021101a,Tulung Selapan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.41786,105.5263,0,,,,
35,16021201a,Pampangan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.209,105.0124,0,,,,
36,16021301a,Lempuing Induk,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.89467,104.8839,0,,,,
37,16022101a,Mesuji Raya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.209,105.0124,0,,,,
38,16022201a,Lempuing Jaya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.209,105.0124,0,,,,
39,16022301a,Sugih Waras,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.1765,105.0447,0,,,,
40,16021901b,ARG Pangkalan Lampan,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.20215,105.09884,0,,,,
41,16021102b,ARG Tulung Salapan,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.16442,105.28365,0,,,,
42,16020504g,AWS Univ Sriwijaya Ogan Ilir,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.39776,104.84242,0,,,,
43,16030101a,Tanjung Agung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.89919,103.7726,0,,,,
44,16030102a,Pandan Enim,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.9925,103.805,166,,,,
45,16030201a,Muara Enim 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.66725,103.7725,0,,,,
46,16030204a,Blh Muara Enim,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.6474,103.7991,0,,,,
47,16030301a,Suban Jeriji,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.45222,104.0275,43,,,,
48,16030302a,Rambang  Dangku 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.45664,104.0513,18,,,,
49,16030303a,Rambang  Dangku 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.45664,104.0513,0,,,,
50,16030401a,Cinta Kasih,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.44526,103.98049,32,,,,
51,16030501a,Pendopo,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.28064,103.8419,23,,,,
52,16030601a,Gelumbang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.25447,104.4291,33,,,,
53,16030602a,Lembak,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.34557,104.34397,28,,,,
54,16030701a,Lawang Kidul,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.75392,103.8028,0,,,,
55,16030801a,Pulau Panggung  1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.79664,103.79136,62,,,,
56,16030802a,Pulau Panggung  2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.79836,103.79464,65,,,,
57,16031101a,Ujan Mas,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.56014,103.7749,65,,,,
58,16031201a,Tanah Abang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.30902,104.11522,23,,,,
59,16031401a,Beringin,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.66808,104.3091,15,,,,
60,16031402a,Lubai,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.66919,104.3086,59,,,,
61,16031601a,Sungai Rotan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.18725,104.3633,34,,,,
62,16032101a,Kelekar,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.36758,104.4646,49,,,,
63,16032201a,Muara Belida 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.04787,104.66362,5,,,,
64,16032202a,Muara Belida 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.06921,104.6247,0,,,,
65,16030803b,ARG Pulau Panggung,aws,Region II,Sumatera Selatan,Kab. Muara Enim,-4.06845,103.65295,0,,,,
66,16030203h,AAWS Muara Enim,aws,Region II,Sumatera Selatan,Kab. Muara Enim,-3.64534,103.79808,0,,,,
67,16042701f,ARG SMPK Lahat,aws,Region II,Sumatera Selatan,Kab. Lahat,-3.98277,103.439,0,,,,
68,16040101a,Tanjung Sakti  Pumu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.05606,103.0122,0,,,,
69,16040601a,Jarai,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.95478,103.1968,0,,,,
70,16040701a,Kota Agung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.08208,103.4224,0,,,,
71,16040801a,Pulau Pinang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.83431,103.5288,159,,,,
72,16040901a,Merapi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.75089,103.6693,84,,,,
73,16041001a,Lahat,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.78175,103.562,0,,,,
74,16041201a,Pajar Bulan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.97386,103.2889,0,,,,
75,16041501a,Mulak Ulu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.00777,103.5183,0,,,,
76,16041601a,Kikim Selatan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.72723,103.1979,0,,,,
77,16041701a,Kikim Timur,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.58744,103.4025,0,,,,
78,16041801a,Tanjung Aur,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.68602,103.25657,136,,,,
79,16041901a,Kikim Barat,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.57784,103.1986,0,,,,
80,16042001a,Pseksu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.8139,103.3185,0,,,,
81,16042101a,Gumay Talang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.77578,103.4964,144,,,,
82,16042201a,Pagar Gunung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.93293,103.5669,0,,,,
83,16042301a,Merapi Timur,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.66282,103.6847,0,,,,
84,16042401a,Tanjung Sakti  Pumi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.13516,103.1025,0,,,,
85,16042501a,Gumay Ulu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.93447,103.3825,0,,,,
86,16042601a,Merapi Selatan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.84884,103.6621,0,,,,
87,16042801a,Muara Payang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.88909,103.14,0,,,,
88,16050101f,ARG SMPK Musi Rawas,aws,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.20283,102.92247,0,,,,
89,16050102a,Srikaton,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.20283,102.9225,0,,,,
90,16050501a,Karang Jaya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.61475,102.7579,0,,,,
91,16050502a,Surulangun,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.62187,102.76057,61,,,,
92,16050701a,Muara Rupit,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.71362,102.91034,38,,,,
93,16050901a,Muara Beliti 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.24364,103.00812,65,,,,
94,16050902a,Muara Beliti 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.24248,103.03627,60,,,,
95,16051001a,Sumber Harta,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.04994,102.9604,0,,,,
96,16051301a,Purwodadi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.17125,102.8404,0,,,,
97,16051701a,Karang Dapo,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.7325,103.0338,0,,,,
98,16060201a,Lais,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.87753,104.1053,21,,,,
99,16060301a,Sungai Keruh,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-3.12666,103.67602,57,,,,
100,16060401a,Batang Hari  Leko,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.23984,103.40859,58,,,,
101,16060501a,Sanga Desa,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.75956,103.4284,18,,,,
102,16060601a,Kasmaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.76542,103.6645,15,,,,
103,16060701a,Sri Gunung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.58656,104.086,13,,,,
104,16060801a,Keluang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.64608,103.9079,0,,,,
105,16060901a,Bayung Lincir,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.06281,103.6793,15,,,,
106,16061001a,Plakat Tinggi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.09475,103.7112,16,,,,
107,16061101a,Lalan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.32846,104.3302,0,,,,
108,16060702b,ARG Sungai Lilin,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.62933,104.10365,0,,,,
109,16060902b,ARG Bayung Lencir,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.19464,103.75393,0,,,,
110,16060602b,ARG Babat Toman,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.76537,103.66465,0,,,,
111,16060103g,AWS MES Musi Banyuasin,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.8657,103.8641,18,,,,+07:00
112,16060102b,ARG Sekayu,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.8956,103.845,0,,,,
113,16070101a,Mariana 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.95269,104.8864,10,,,,
114,16070104a,Melania,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.95792,104.5639,26,,,,
115,16070105a,Alicia,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.93808,104.5444,20,,,,
116,16070106a,Sanna,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92639,104.5869,29,,,,
117,16070107a,Musi Landas,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.91678,104.6134,34,,,,
118,16070301a,Banyuasin,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92044,104.4081,34,,,,
119,16070303a,Pangkalan Balai  2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92258,104.4161,15,,,,
120,16070401a,Pulau Rimau,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.60789,104.4639,15,,,,
121,16070501a,Betung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.85214,104.3865,26,,,,
122,16070601a,Rambutan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-3.05231,104.8318,16,,,,
123,16070701a,Muara Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.59761,105.1319,18,,,,
124,16070801a,Muara Telang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.55142,104.7992,0,,,,
125,16071001a,Sukajadi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.80224,104.7428,855,,,,
126,16071201a,Tanjung Lago,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.63305,104.6096,0,,,,
127,16071301a,Muara Sugihan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.4005,105.1713,0,,,,
128,16071601b,ARG Suak Tape,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.85935,104.35683,0,,,,
129,16071202b,ARG KTM Tanjung Lago,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.64568,104.7603,0,,,,
130,16070108g,AWS Sembawa,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92044,104.38647,0,,,,
131,16070109b,ARG Banyu Asin I,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.9531,104.886,0,,,,
132,16080101a,Martapura 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.33017,104.3574,15,,,,
133,16080102a,Pracak,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.33528,104.3301,20,,,,
134,16080103a,Martapura 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.37583,104.3657,15,,,,
135,16080201a,Kurungan  Nyawa,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.23567,104.4691,15,,,,
136,16080202a,Cipta Muda,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.23239,104.489,15,,,,
137,16080401a,Campang Tiga  Ilir,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-3.76019,104.6496,13,,,,
138,16080402a,Gunung Batu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-3.71541,104.68001,29,,,,
139,16080403a,Sukaraja,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-3.74614,104.6651,12,,,,
140,16080601a,Batumarta Ii,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.24886,104.30158,137,,,,
141,16080701a,Batumarta I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.24526,104.29502,123,,,,
142,16080203b,ARG Buay Madang,aws,Region II,Sumatera Selatan,Kab. Oku Timur,-4.35524,104.4694,0,,,,
143,16080302h,AAWS Belitang,aws,Region II,Sumatera Selatan,Kab. Oku Timur,-4.4056,105.6482,0,,,,
144,16090101a,Muara Dua,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.55119,104.0804,215,,,,
145,16090201a,Pulau Beringin,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.50269,103.63599,783,,,,
146,16090301a,Sipatuhu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.76706,103.9715,720,,,,
147,16090501a,Simpang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.4535,104.2006,153,,,,
148,16091101a,Simpang  Campang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.51575,103.7689,487,,,,
149,16091901a,Sukajaya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.57131,104.0439,208,,,,
150,16091902b,ARG Muara Dua,aws,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.57466,104.04995,0,,,,
151,16100101a,Muara Kuang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.66637,104.57379,702,,,,
152,16100201a,Tanjung Batu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.34481,104.6218,27,,,,
153,16100401a,Tanjung Seteko 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.24222,104.6874,27,,,,
154,16100501a,Pemulutan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.12575,104.7794,0,,,,
155,16101501b,ARG Cinta Manis,aws,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.4353,104.6737,0,,,,
156,16100402b,ARG Indralaya,aws,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.2322,104.6795,0,,,,
157,16110101a,Muara Pinang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.84,103.0343,426,,,,
158,16110201a,Pendopo,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.79734,103.00863,325,,,,
159,16110301a,Batu Lintang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.77,102.7925,0,,,,
160,16110401a,Tebing Tinggi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.58921,103.08257,109,,,,
161,16110402a,Lampar Baru,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.598,103.075,155,,,,
162,16110403a,Sungai Payang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.58758,103.1343,158,,,,
163,16110601a,Talang Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.70856,102.9275,0,,,,
164,16110701a,Pasmah Air  Keruh,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.69297,102.9032,0,,,,
165,16110404b,ARG Tebing Tinggi,aws,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.61168,103.11587,0,,,,
166,16110405g,AWS MES Empat Lawang,aws,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.6141,103.0649,138,,,,+08:00
167,11110101a,Samalanga,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.37,13,,,,
168,11110201a,Bpp Jeunieb,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.19,96.5,11,,,,
169,11110301a,Bpp Peudada,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.59,17,,,,
170,11110401a,Jeumpa,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.69,0,,,,
171,11110601a,Makmur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.87,0,,,,
172,11110701a,Gandapura,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.23,96.89,0,,,,
173,11110801a,Pandrah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.19,96.47,24,,,,
174,11110901a,Juli,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.05,96.7,0,,,,
175,11111001a,Jangka,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.21,96.77,0,,,,
176,11111101a,Sp. Mamplam,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.21,96.44,0,,,,
177,11111301a,Kota Juang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.15,96.66,0,,,,
178,11111501a,Peusangan Siblah Krueng,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.01,96.8,0,,,,
179,11111601a,Peusangan Selatan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.03,96.76,0,,,,
180,11111701a,Kuta Blang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.22,96.84,22,,,,
181,11110302h,AAWS Peudada,aws,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.06974,96.5546,0,,,,
182,96221,Stasiun Meteorologi Sultan Mahmud Badaruddin II,UPT,Region II,Sumatera Selatan,Kota Palembang,-2.89468,104.70129,10,41.0,21.0,26.0,+07:00
183,96223,Stasiun Klimatologi Palembang,UPT,Region II,Sumatera Selatan,Kota Palembang,-2.92732,104.77197,11,52.0,22.0,21.0,+07:00
184,16710801g,AWS Staklim Kenten,aws,Region II,Sumatera Selatan,Kota Palembang,-2.92731,104.77194,0,,,,
185,16711202b,ARG Gandus,aws,Region II,Sumatera Selatan,Kota Palembang,-3.0148,104.7219,0,,,,
186,16710201a,Seberang Ulu I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-3.02372,104.7669,3,,,,
187,16710401a,Ilir Barat I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.98961,104.7429,2,,,,
188,16710501a,Ilir Timur I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.97094,104.7449,4,,,,
189,16710601a,Ilir Timur Ii,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.98844,104.7872,2,,,,
190,16711001a,Kalidoni,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.98064,104.8142,3,,,,
191,16711401a,Plaju,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.99922,104.8331,2,,,,
192,16710202b,ARG Jaka Baring,aws,Region II,Sumatera Selatan,Kota Palembang,-3.02767,104.78135,0,,,,
193,16710701g,AWS Digi Stamet Palembang,aws,Region II,Sumatera Selatan,Kota Palembang,-2.89455,104.7011,0,,,,
194,16711402b,ARG Plaju,aws,Region II,Sumatera Selatan,Kota Palembang,-2.992,104.8217,0,,,,
