id_stat,name_stat,type_stat,region,provinsi,kabupaten,lintang_derajat,bujur_derajat
11010101a,Bakongan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.95,97.47
11010201a,Kluet Utara,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.59,97.0
11010301a,Kluet Selatan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.03,97.38
11010401a,Labuhan Haji,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.54,97.01
11010501a,Meukek,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.5432099999999997,97.1523
11010601a,Sama Dua,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.32,97.14
11010701a,Sawang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.39,97.11
11010801a,Tapak Tuan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.27,97.21
11010901a,Trumon,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.88,97.67
11011001a,Pasie Raja,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.25,97.28
11011101a,Labuhan Haji Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.52,97.03
11011301a,Kluet Tengah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.51,97.35
11011401a,Kluet Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,3.23,97.43
11011501a,Bakongan Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.91,97.55
11011601a,Trumon Timur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Selatan,2.82,97.76
11100101a,Pulau Banyak,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.19,97.28
11100201a,Simpang Kanan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.45,98.04
11100401a,Singkil,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.29,97.85
11101001a,Singkil Utara,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.28,97.94
11101101a,Danau Paris,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.47,97.85
11101201a,Suro Baru/Makmur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.54,98.05
11101301a,Singkohor,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.53,97.94
11101401a,Kuala Baru,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.37,97.75
11110501a,Kota Baharu,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.43,97.82
11100402g,AWS MES Singkil,aws,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.2753,97.9548
11100601a,Gunung Meriah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.29,98.14
11100901a,Kota Baharu,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Aceh Singkil,2.43,97.82
16020504h,AAWS OKI,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-4.4075,105.441
16020201a,Tanjung Lubuk,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.5300800000000003,104.7578
16020301a,Pedamaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.49606,104.8363
16020302a,Pedamaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.5007900000000003,104.8349
16020401a,P. Panggang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.89371,105.1027
16020503a,Kayu Agung 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.4075,104.9425
16020801a,Sp. Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.2671200000000002,104.87623
16021101a,Tulung Selapan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.4178599999999997,105.5263
16021201a,Pampangan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.2089999999999996,105.0124
16021301a,Lempuing Induk,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.8946699999999996,104.8839
16022101a,Mesuji Raya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.2089999999999996,105.0124
16022201a,Lempuing Jaya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.2089999999999996,105.0124
16022301a,Sugih Waras,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.1765,105.0447
16021901b,ARG Pangkalan Lampan,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.20215,105.09884
16021102b,ARG Tulung Salapan,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.1644200000000002,105.28365
16020504g,AWS Univ Sriwijaya Ogan Ilir,aws,Region II,Sumatera Selatan,Kab. Ogan Komering Ilir,-3.39776,104.84241999999999
16030101a,Tanjung Agung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.89919,103.7726
16030102a,Pandan Enim,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.9925,103.805
16030201a,Muara Enim 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.66725,103.7725
16030204a,Blh Muara Enim,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.6474,103.7991
16030301a,Suban Jeriji,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.4522199999999996,104.0275
16030302a,Rambang  Dangku 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.45664,104.0513
16030303a,Rambang  Dangku 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.45664,104.0513
16030401a,Cinta Kasih,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.4452599999999998,103.98049
16030501a,Pendopo,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.28064,103.8419
16030601a,Gelumbang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.25447,104.4291
16030602a,Lembak,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.3455699999999995,104.34397
16030701a,Lawang Kidul,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.75392,103.8028
16030801a,Pulau Panggung  1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.79664,103.79136
16030802a,Pulau Panggung  2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.7983599999999997,103.79464
16031101a,Ujan Mas,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.56014,103.7749
16031201a,Tanah Abang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.30902,104.11522
16031401a,Beringin,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.6680800000000002,104.3091
16031402a,Lubai,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.66919,104.3086
16031601a,Sungai Rotan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.18725,104.3633
16032101a,Kelekar,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.3675800000000002,104.4646
16032201a,Muara Belida 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.04787,104.66362
16032202a,Muara Belida 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Muara Enim,-3.06921,104.6247
16030803b,ARG Pulau Panggung,aws,Region II,Sumatera Selatan,Kab. Muara Enim,-4.06845,103.65295
16030203h,AAWS Muara Enim,aws,Region II,Sumatera Selatan,Kab. Muara Enim,-3.64534,103.79808
16042701f,ARG SMPK Lahat,aws,Region II,Sumatera Selatan,Kab. Lahat,-3.98277,103.439
16040101a,Tanjung Sakti  Pumu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.0560599999999996,103.0122
16040601a,Jarai,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.9547800000000004,103.1968
16040701a,Kota Agung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.08208,103.4224
16040801a,Pulau Pinang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.83431,103.5288
16040901a,Merapi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.75089,103.6693
16041001a,Lahat,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.78175,103.56200000000001
16041201a,Pajar Bulan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.9738599999999997,103.2889
16041501a,Mulak Ulu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.00777,103.5183
16041601a,Kikim Selatan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.7272300000000005,103.1979
16041701a,Kikim Timur,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.58744,103.4025
16041801a,Tanjung Aur,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.6860199999999996,103.25657
16041901a,Kikim Barat,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.57784,103.1986
16042001a,Pseksu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.8139,103.3185
16042101a,Gumay Talang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.77578,103.4964
16042201a,Pagar Gunung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.9329300000000003,103.5669
16042301a,Merapi Timur,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.6628199999999995,103.6847
16042401a,Tanjung Sakti  Pumi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-4.13516,103.1025
16042501a,Gumay Ulu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.9344699999999997,103.3825
16042601a,Merapi Selatan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.84884,103.6621
16042801a,Muara Payang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Lahat,-3.88909,103.14
16050101f,ARG SMPK Musi Rawas,aws,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.20283,102.92246999999999
16050102a,Srikaton,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.20283,102.9225
16050501a,Karang Jaya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.61475,102.7579
16050502a,Surulangun,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.62187,102.76057
16050701a,Muara Rupit,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.71362,102.91034
16050901a,Muara Beliti 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.24364,103.00811999999999
16050902a,Muara Beliti 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.24248,103.03627
16051001a,Sumber Harta,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.0499400000000003,102.9604
16051301a,Purwodadi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-3.17125,102.8404
16051701a,Karang Dapo,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Rawas,-2.7325,103.0338
16060201a,Lais,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.87753,104.1053
16060301a,Sungai Keruh,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-3.1266599999999998,103.67602
16060401a,Batang Hari  Leko,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.23984,103.40859
16060501a,Sanga Desa,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.75956,103.4284
16060601a,Kasmaran,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.76542,103.6645
16060701a,Sri Gunung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.58656,104.086
16060801a,Keluang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.64608,103.9079
16060901a,Bayung Lincir,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.06281,103.6793
16061001a,Plakat Tinggi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.09475,103.7112
16061101a,Lalan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.3284599999999998,104.3302
16060702b,ARG Sungai Lilin,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.62933,104.10365
16060902b,ARG Bayung Lencir,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.19464,103.75393000000001
16060602b,ARG Babat Toman,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.76537,103.66465
16060103g,AWS MES Musi Banyuasin,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.8657,103.8641
16060102b,ARG Sekayu,aws,Region II,Sumatera Selatan,Kab. Musi Banyuasin,-2.8956,103.845
16070101a,Mariana 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.95269,104.8864
16070104a,Melania,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.95792,104.5639
16070105a,Alicia,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.93808,104.5444
16070106a,Sanna,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92639,104.5869
16070107a,Musi Landas,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.9167799999999997,104.6134
16070301a,Banyuasin,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92044,104.4081
16070303a,Pangkalan Balai  2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92258,104.4161
16070401a,Pulau Rimau,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.6078900000000003,104.4639
16070501a,Betung,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.8521400000000003,104.3865
16070601a,Rambutan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-3.05231,104.8318
16070701a,Muara Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.59761,105.1319
16070801a,Muara Telang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.5514200000000002,104.7992
16071001a,Sukajadi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.8022400000000003,104.7428
16071201a,Tanjung Lago,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.63305,104.6096
16071301a,Muara Sugihan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Banyuasin,-2.4005,105.1713
16071601b,ARG Suak Tape,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.85935,104.35683
16071202b,ARG KTM Tanjung Lago,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.64568,104.7603
16070108g,AWS Sembawa,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.92044,104.38646999999999
16070109b,ARG Banyu Asin I,aws,Region II,Sumatera Selatan,Kab. Banyuasin,-2.9531,104.88600000000001
16080101a,Martapura 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.33017,104.3574
16080102a,Pracak,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.33528,104.3301
16080103a,Martapura 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.3758300000000006,104.3657
16080201a,Kurungan  Nyawa,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.23567,104.4691
16080202a,Cipta Muda,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.2323900000000005,104.48899999999999
16080401a,Campang Tiga  Ilir,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-3.76019,104.6496
16080402a,Gunung Batu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-3.71541,104.68001
16080403a,Sukaraja,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-3.74614,104.6651
16080601a,Batumarta Ii,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.24886,104.30158
16080701a,Batumarta I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Timur,-4.24526,104.29502
16080203b,ARG Buay Madang,aws,Region II,Sumatera Selatan,Kab. Oku Timur,-4.35524,104.4694
16080302h,AAWS Belitang,aws,Region II,Sumatera Selatan,Kab. Oku Timur,-4.4056,105.6482
16090101a,Muara Dua,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.55119,104.0804
16090201a,Pulau Beringin,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.50269,103.63599
16090301a,Sipatuhu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.76706,103.9715
16090501a,Simpang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.4535,104.2006
16091101a,Simpang  Campang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.51575,103.7689
16091901a,Sukajaya,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.5713099999999995,104.0439
16091902b,ARG Muara Dua,aws,Region II,Sumatera Selatan,Kab. Oku Selatan,-4.57466,104.04995
16100101a,Muara Kuang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.6663699999999997,104.57379
16100201a,Tanjung Batu,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.34481,104.6218
16100401a,Tanjung Seteko 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.24222,104.6874
16100501a,Pemulutan,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.12575,104.7794
16101501b,ARG Cinta Manis,aws,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.4353,104.6737
16100402b,ARG Indralaya,aws,Region II,Sumatera Selatan,Kab. Ogan Ilir,-3.2322,104.6795
16110101a,Muara Pinang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.84,103.0343
16110201a,Pendopo,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.79734,103.00863000000001
16110301a,Batu Lintang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.77,102.7925
16110401a,Tebing Tinggi,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.58921,103.08256999999999
16110402a,Lampar Baru,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.5980000000000003,103.075
16110403a,Sungai Payang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.5875800000000004,103.1343
16110601a,Talang Padang,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.70856,102.9275
16110701a,Pasmah Air  Keruh,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.69297,102.9032
16110404b,ARG Tebing Tinggi,aws,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.6116800000000002,103.11587
16110405g,AWS MES Empat Lawang,aws,Region II,Sumatera Selatan,Kab. Empat Lawang,-3.6141,103.0649
11110101a,Samalanga,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.37
11110201a,Bpp Jeunieb,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.19,96.5
11110301a,Bpp Peudada,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.59
11110401a,Jeumpa,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.69
11110601a,Makmur,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.2,96.87
11110701a,Gandapura,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.23,96.89
11110801a,Pandrah,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.19,96.47
11110901a,Juli,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.05,96.7
11111001a,Jangka,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.21,96.77
11111101a,Sp. Mamplam,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.21,96.44
11111301a,Kota Juang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.15,96.66
11111501a,Peusangan Siblah Krueng,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.01,96.8
11111601a,Peusangan Selatan,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.03,96.76
11111701a,Kuta Blang,Pos Hujan Kerjasama,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.22,96.84
11110302h,AAWS Peudada,aws,Region I,Nanggroe Aceh Darussalam,Kab. Bireuen,5.06974,96.5546
96221,Stasiun Meteorologi Sultan Mahmud Badaruddin II,UPT,Region II,Sumatera Selatan,Kota Palembang,-2.89468,104.70129
96223,Stasiun Klimatologi Palembang,UPT,Region II,Sumatera Selatan,Kota Palembang,-2.92732,104.77197
16710801g,AWS Staklim Kenten,aws,Region II,Sumatera Selatan,Kota Palembang,-2.92731,104.77194
16711202b,ARG Gandus,aws,Region II,Sumatera Selatan,Kota Palembang,-3.0148,104.7219
16710201a,Seberang Ulu I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-3.02372,104.7669
16710401a,Ilir Barat I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.98961,104.7429
16710501a,Ilir Timur I,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.97094,104.7449
16710601a,Ilir Timur Ii,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.98844,104.7872
16711001a,Kalidoni,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.98064,104.8142
16711401a,Plaju,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Palembang,-2.99922,104.8331
16710202b,ARG Jaka Baring,aws,Region II,Sumatera Selatan,Kota Palembang,-3.02767,104.78135
16710701g,AWS Digi Stamet Palembang,aws,Region II,Sumatera Selatan,Kota Palembang,-2.89455,104.7011
16711402b,ARG Plaju,aws,Region II,Sumatera Selatan,Kota Palembang,-2.992,104.8217
16720202a,Gunung Gare,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Pagar Alam,-4.04128,103.2068
16720101h,AAWS Petani,aws,Region II,Sumatera Selatan,Kota Pagar Alam,-3.44058,104.23219
16730101a,Lubuk Linggau Timur 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Lubuk Linggau,-3.28364,102.8926
16730102a,Lubuk Linggau Timur 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Lubuk Linggau,-3.2732799999999997,102.9202
16730201a,Kayu Ara,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Lubuk Linggau,-3.3172900000000003,102.83033
16730103b,ARG Lubuk Linggau,aws,Region II,Sumatera Selatan,Kota Lubuk Linggau,-3.2709200000000003,102.91337
16740101a,Prabumulih 1,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Prabumulih,-3.44058,104.2322
16740201a,Prabumulih 2,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Prabumulih,-3.43036,104.2508
16740202a,Gunung Ibul,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Prabumulih,-3.40319,104.2636
16740401a,Rambang  Kapak Tengah,Pos Hujan Kerjasama,Region II,Sumatera Selatan,Kota Prabumulih,-3.5178800000000003,104.1816
16740301g,AWS MES Prabumulih,aws,Region II,Sumatera Selatan,Kota Prabumulih,-3.3743,104.2866
17010501g,AAWS Manna (AWS+),aws,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.44611,102.9294
17010101a,Kedurang,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.4602,103.08
17010201a,Seginim,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.4549,103.0061
17010301a,Batu Bandung,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.36048,102.95577
17010401a,Agrisinal,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.43142,102.9597
17010601a,Selali,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.3629,102.8198
17010701a,Sulau,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.54117,103.07064
17010801a,Air Nipis,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.40944,103.0581
17010901a,Ulu Manna,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.26888,102.9811
17011001a,Bunga Mas,Pos Hujan Kerjasama,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.5029699999999995,102.9753
17011002b,ARG Bunga Mas,aws,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.50322,103.05583
17010102b,ARG Sulau,aws,Region II,Bengkulu,Kab. Bengkulu Selatan,-4.5494699999999995,103.15288000000001
